ids,target,prediction
mp-1001571,0.0,0.19068001
mp-1001606,1.0,0.8067123
mp-1194030,0.0,0.041185934
mp-1245108,0.0,0.04565917
mp-1271068,0.0,0.07484864
mp-1271128,0.0,0.21485798
mp-1096950,0.0,0.5401305
mp-136,1.0,0.21383843
mp-1007852,0.0,0.09147188
mp-1007853,0.0,0.11977768
mp-1007854,0.0,0.11484211
mp-1007855,0.0,0.11665022
mp-1007862,0.0,0.1356839
mp-1007881,1.0,0.7182198
mp-1008225,0.0,0.050441913
mp-1008226,0.0,0.0728752
mp-1008282,0.0,0.017908696
mp-1008285,0.0,0.018677322
mp-1008530,0.0,0.09342239
mp-1005,1.0,0.6352141
mp-1006322,1.0,0.6317566
mp-10065,1.0,0.9657705
mp-1008872,0.0,0.07487489
mp-1008925,0.0,0.06707486
mp-1008927,0.0,0.04459816
mp-1008929,0.0,0.20236698
mp-1009019,0.0,0.21245554
mp-1009077,0.0,0.29530448
mp-1009134,0.0,0.07422273
mp-1016317,0.0,0.00051051186
mp-1016260,0.0,0.0049645863
mp-1012640,0.0,0.0049959277
mp-1013849,0.0,0.012808028
mp-1013864,0.0,0.20137362
mp-1013899,0.0,0.0025770136
mp-1013910,0.0,0.0016505042
mp-1009592,0.0,0.071188
mp-1011260,0.0,0.06706473
mp-1018046,0.0,0.050122358
mp-1018052,1.0,0.6323627
mp-1018061,0.0,0.24303675
mp-1018062,1.0,0.10154774
mp-1018064,1.0,0.6058012
mp-1018065,1.0,0.7331071
mp-1018067,0.0,0.045338552
mp-1018068,0.0,0.16132754
mp-1018070,0.0,0.11123136
mp-1018071,0.0,0.11839153
mp-1018074,0.0,0.14503366
mp-1018075,1.0,0.37692156
mp-1018081,0.0,0.052079756
mp-1017511,0.0,0.019388989
mp-1018012,0.0,0.1622691
mp-1018024,0.0,0.08995442
mp-1018785,0.0,0.011775057
mp-10188,1.0,0.15174538
mp-1018895,1.0,0.72800064
mp-1019100,1.0,0.7209568
mp-1018176,1.0,0.83058643
mp-1018725,1.0,0.7026433
mp-1021504,0.0,0.036130026
mp-1021509,1.0,0.36407292
mp-1021950,0.0,0.028841402
mp-1022117,0.0,0.0014516223
mp-1022127,0.0,0.0015227
mp-1022130,0.0,0.001600786
mp-1022132,0.0,0.001934215
mp-1022651,0.0,0.0012972857
mp-1022698,0.0,0.0052657803
mp-1022711,0.0,0.003690268
mp-1022730,0.0,0.19113168
mp-1022731,0.0,0.022040633
mp-1022732,0.0,0.2418793
mp-1022733,0.0,0.030369416
mp-1022808,0.0,0.038195964
mp-1022809,0.0,0.08427075
mp-1022917,0.0,0.001991486
mp-1022967,0.0,0.0015079144
mp-1022136,0.0,0.0015066671
mp-1022157,0.0,0.005488772
mp-1022159,0.0,0.000978091
mp-1022162,0.0,0.0034238135
mp-1022181,0.0,0.0019409317
mp-1022184,0.0,0.0013755143
mp-1022195,0.0,0.0028393634
mp-1022199,0.0,0.0012128315
mp-1022203,0.0,0.0009456489
mp-1022205,0.0,0.0005884026
mp-1022206,0.0,0.002095866
mp-1022207,0.0,0.00096211076
mp-1022208,0.0,0.00052058
mp-1022209,0.0,0.0034545902
mp-1022213,0.0,0.001691618
mp-1022216,0.0,0.0011178167
mp-1022217,0.0,0.0020154677
mp-1022230,0.0,0.002230666
mp-1022235,0.0,0.0014485966
mp-1022236,0.0,0.0008763537
mp-1022242,0.0,0.002351315
mp-1022246,0.0,0.002217496
mp-1022263,0.0,0.0067053083
mp-1022266,0.0,0.0022345472
mp-1022314,0.0,0.0022359937
mp-1022315,0.0,0.0009348129
mp-1022318,0.0,0.00088186783
mp-1022325,0.0,0.003286455
mp-1022329,0.0,0.003723445
mp-1022348,0.0,0.009968556
mp-1022353,0.0,0.0009515741
mp-1022387,0.0,0.0010082754
mp-1022415,0.0,0.0010813783
mp-1022457,0.0,0.002813814
mp-1022464,0.0,0.001070177
mp-1022476,0.0,0.00088642456
mp-1022485,0.0,0.0007675037
mp-1022507,0.0,0.00940165
mp-1022547,0.0,0.0069693998
mp-1022578,0.0,0.0012243014
mp-1022605,0.0,0.0006692781
mp-1023148,0.0,0.0009636016
mp-1023157,0.0,0.0009715581
mp-1023293,0.0,0.0020481045
mp-1023313,0.0,0.001293264
mp-1023505,0.0,0.0053175744
mp-1023632,0.0,0.0011466864
mp-1024054,0.0,0.34163365
mp-1024056,0.0,0.37076506
mp-1024972,0.0,0.043839063
mp-1025010,1.0,0.79909056
mp-1025011,0.0,0.058559146
mp-1025047,0.0,0.1331403
mp-1025124,0.0,0.04414584
mp-1025182,0.0,0.13539699
mp-1025194,1.0,0.48394042
mp-1025204,0.0,0.03231663
mp-1025235,0.0,0.105738826
mp-1025241,0.0,0.5316398
mp-1025262,0.0,0.37676352
mp-1025289,0.0,0.40501535
mp-1025290,0.0,0.36063775
mp-1025316,1.0,0.4350653
mp-1025339,1.0,0.3731799
mp-1025354,1.0,0.36240232
mp-1025357,0.0,0.31157568
mp-1025359,1.0,0.09544323
mp-1025378,0.0,0.15467599
mp-1025380,0.0,0.087387055
mp-1025382,0.0,0.44294906
mp-1025450,0.0,0.43069223
mp-1025510,1.0,0.32013437
mp-1025523,1.0,0.4372127
mp-1025559,0.0,0.38781327
mp-1023494,0.0,0.005536716
mp-10266,1.0,0.42958456
mp-1027757,0.0,0.0018603571
mp-1027778,0.0,0.0012297631
mp-1027782,0.0,0.0014798032
mp-1027786,0.0,0.0016498191
mp-1027787,0.0,0.0016631554
mp-1027789,0.0,0.0009970645
mp-1027791,0.0,0.0014218078
mp-1027792,0.0,0.0014629464
mp-1027800,0.0,0.0012556057
mp-1027809,0.0,0.0015530334
mp-1027810,0.0,0.003388836
mp-1027813,0.0,0.0014880756
mp-1027814,0.0,0.0016816877
mp-1027831,0.0,0.0027428155
mp-1027847,0.0,0.00125193
mp-1027859,0.0,0.0018357986
mp-1027860,0.0,0.0025576232
mp-1027862,0.0,0.0019742684
mp-1027865,0.0,0.0015021445
mp-1027869,0.0,0.001313029
mp-1027874,0.0,0.0023776484
mp-1027877,0.0,0.0005050017
mp-1027878,0.0,0.0037506607
mp-1027881,0.0,0.0034309211
mp-1027884,0.0,0.0053282185
mp-1027885,0.0,0.0019949006
mp-1027887,0.0,0.0013598035
mp-1027898,0.0,0.0010978815
mp-1027901,0.0,0.001436367
mp-1027907,0.0,0.002376077
