ids,target,prediction
mp-1520929,0.0,0.05375798
mp-1245531,0.0,0.020792661
mp-771348,0.0,0.0021059208
mp-1071423,0.0,0.046966825
mp-1035597,0.0,0.00030111976
mp-5399,1.0,0.90875554
mp-817992,0.0,0.49322098
mp-2217446,0.0,0.0005136166
mp-1173772,0.0,0.07350094
mp-760142,0.0,0.0005526617
mp-1199975,1.0,0.36290082
mp-532545,0.0,0.21841827
mp-753951,0.0,0.005051102
mp-1079872,1.0,0.59038883
mp-1423472,0.0,0.2151724
mp-761227,0.0,0.0019419665
mp-1217935,0.0,0.7806379
mp-1220973,0.0,0.2149163
mp-685374,0.0,0.025996173
mp-1211823,0.0,0.66302377
mp-768361,0.0,0.00793177
mp-567566,1.0,0.44589385
mp-1217037,0.0,0.038543522
mp-778476,0.0,0.0056347335
mp-684887,0.0,0.02091487
mp-26985,1.0,0.0014570486
mp-2232131,0.0,0.017449686
mp-755772,0.0,0.011533944
mp-558337,1.0,0.34551504
mp-1223567,0.0,0.39784622
mp-782655,0.0,0.056894902
mp-772462,0.0,0.10894192
mp-753638,0.0,0.0008016278
mp-4088,1.0,0.886537
mp-2220202,0.0,0.00078652025
mp-1279034,0.0,0.063736744
mp-755786,0.0,0.0016517162
mp-7705,0.0,0.3844987
mp-604071,1.0,0.36125746
mp-1176466,0.0,0.010486191
mp-510281,1.0,0.09455445
mp-1190551,1.0,0.24007711
mp-1217506,0.0,0.025082856
mp-1214950,0.0,0.14410947
mp-616023,1.0,0.7596439
mp-613327,1.0,0.76415235
mp-697811,0.0,0.0013127839
mp-510252,1.0,0.055081915
mp-2226158,0.0,0.011313776
mp-6957,1.0,0.8556564
mp-20512,1.0,0.43088505
mp-753395,0.0,0.4397896
mp-1393149,0.0,0.00020325268
mp-1177103,0.0,0.0006800535
mp-1234418,0.0,0.00076441176
mp-1639830,0.0,0.00064352003
mp-1095825,0.0,0.08841742
mp-706875,0.0,0.05670734
mp-1206715,0.0,0.42281428
mp-771770,0.0,0.0015952201
mp-1103481,1.0,0.8382825
mp-1225422,0.0,0.07340266
mp-1233048,0.0,0.0013240775
mp-1188676,1.0,0.7450557
mp-1568135,0.0,0.0014398044
mp-761315,0.0,0.007816184
mp-725423,0.0,0.03713003
mp-777543,0.0,0.02391208
mp-758892,0.0,0.006177485
mp-787625,0.0,0.04377764
mp-776551,0.0,0.0060655973
mp-1197596,1.0,0.5997824
mp-1188668,1.0,0.21951751
mp-1177159,0.0,0.0013815521
mp-1233671,0.0,0.0011462747
mp-1178326,0.0,0.010512338
mp-998965,0.0,0.1346152
mp-1225282,0.0,0.23319271
mp-1193023,0.0,0.39908952
mp-758977,0.0,0.0080199335
mp-1519261,0.0,0.046236396
mp-1225401,0.0,0.34080422
mp-753474,0.0,0.02771093
mp-636320,1.0,0.14836812
mp-684864,0.0,0.093458705
mp-1218474,0.0,0.0040450604
mp-779018,0.0,0.034641773
mp-1233214,0.0,0.0006030159
mp-752696,0.0,0.0011538349
mp-1099788,0.0,0.014136157
mp-1211902,0.0,0.24643703
mp-754259,0.0,0.00080463634
mp-1080476,0.0,0.25205132
mp-777476,0.0,0.06615205
mp-753097,0.0,0.0552336
mp-18215,1.0,0.16807267
mp-1192884,0.0,0.17421605
mp-779305,0.0,0.0012124376
mp-755823,0.0,0.016806208
mp-1212962,0.0,0.097777195
mp-1224041,0.0,0.35173884
mp-807985,0.0,0.048044983
mp-2223651,0.0,0.0025284737
mp-850032,0.0,0.27894244
mp-1299455,0.0,0.00046805962
mp-2222938,0.0,0.010847113
mp-1192577,1.0,0.56917036
mp-9442,1.0,0.3830246
mp-757035,0.0,0.0008922392
mp-2230955,0.0,0.0011593092
mp-754533,0.0,0.004814317
mp-1178284,0.0,0.015190947
mp-1076177,0.0,0.011253811
mp-1027862,0.0,0.001974272
mp-779778,0.0,0.0011035574
mp-559436,1.0,0.3114088
mp-641595,0.0,0.32118657
mp-1173842,0.0,0.0009388377
mp-1219338,0.0,0.05125981
mp-753521,0.0,0.000756061
mp-625242,0.0,0.1493418
mp-1036237,0.0,0.00031533258
mp-1234478,0.0,0.0011558305
